formatted_name;icon_file_name;thematic_label_en
group_general_info;About;General
group_cccm;Camp-Coordination-and-Camp-Management;Camp Management
group_demo;People-in-need;Demographic distribution
group_shelternfi;Shelter;Shelter - NFI
group_wash;Water-Sanitation-and-Hygiene;Water, sanitation and hygiene
group_nutrition;Nutrition;Nutrition
group_health;Health;Health
group_education;Education;Education
group_vulpop;Elderly;Vulnerable population
group_gaps;Preparedness;Gaps
group_needs;Coordination;needs
