formatted_name;icon_file_name;thematic_label_en;thematic_label_pt
group_general_info;About;General;Geral
group_cccm;Camp-Coordination-and-Camp-Management;Camp Management;Administração do acampamento
group_demo;People-in-need;Demographic distribution;Distribuição demográfica
group_protection;Protection;Protection;Proteção
group_wash;Water-Sanitation-and-Hygiene;Water, sanitation and hygiene;Água, saneamento e higiene
group_health;Health;Health;Saúde
group_education;Education;Education;Educação
group_com;Public-information;Communication;Comunicação
group_sports;Add-sport;Sports;Esportes
group_security;Security;Security;Segurança
group_nonfood;Non-food-items;Non-food items;Itens não-alimentícios
group_environment;Environment;Environment;Meio Ambiente
group_interiorisation;Add-relocation;Interiorisation;Interiorização
group_infrastructure;Infrastructure;Infrastructure;Infra-estrutura
