field_name;field_label_en;
site_id;ID;
adm1_pcode;adm1 pcode;
adm2_pcode;adm2 pcode;
latitude;Latitude;
longitude;Longitude;
General_Site_Type;General Site type;
Date_of_Visit;Date of visit;
Site_Location;Site Location;
Other_Location;Other Location;
Name_of_the_Site;Name of the Site;
Type_of_the_Site;Type of the Site;
Sites_location_coordinates;Sites location coordinates;
Sites_location_coordinates_altitude;Sites location coordinates_altitude;
Sites_location_coordinates_precision;Sites location coordinates_precision;
Address_of_the_Site;Address of the Site;
Hotline_or_Contact_Number_of_the_Site;Hotline or Contact Number of the Site;
Other_Type_of_the_Site;Other Type of the Site;
Does_Site_works_24_7;Does Site works 24/7?;
Select_working_days;Select working days;
Select_working_days_Monday;Select working days/Monday;
Select_working_days_Tuesday;Select working days/Tuesday;
Select_working_days_Wednesday;Select working days/Wednesday;
Select_working_days_Thursday;Select working days/Thursday;
Select_working_days_Friday;Select working days/Friday;
Select_working_days_Saturday;Select working days/Saturday;
Select_working_days_Sunday;Select working days/Sunday;
Indicate_sites_working_Hours;Indicate sites working Hours;
Sites_Capacity;Sites Capacity;
Sites_managed_by;Sites managed by;
Sites_managed_by_District_Administration;Sites managed by/District Administration;
Sites_managed_by_Municipality;Sites managed by/Municipality;
Sites_managed_by_NGO;Sites managed by/NGO;
Sites_managed_by_Volunteers;Sites managed by/Volunteers;
Sites_managed_by_Other;Sites managed by/Other;
Name_of_the_Managing_Organisation;Name of the Managing Organisation;
Are_the_volunteers_engaged;Are the volunteers engaged?;
Select_the_sectors_of_volunteers_engagement;Select the sector(s) of volunteers' engagement;
Select_the_sectors_of_volunteers_engagement_Accommodation;Select the sector(s) of volunteers' engagement/Accommodation;
Select_the_sectors_of_volunteers_engagement_Child_activities;Select the sector(s) of volunteers' engagement/Child activities;
Select_the_sectors_of_volunteers_engagement_Child_Protection;Select the sector(s) of volunteers' engagement/Child Protection;
Select_the_sectors_of_volunteers_engagement_Counselling_and_Information;Select the sector(s) of volunteers' engagement/Counselling and Information;
Select_the_sectors_of_volunteers_engagement_Food_distribution;Select the sector(s) of volunteers' engagement/Food distribution;
Select_the_sectors_of_volunteers_engagement_Healthcare_Medical_aid;Select the sector(s) of volunteers' engagement/Healthcare/Medical aid;
Select_the_sectors_of_volunteers_engagement_Hygienic_kits_distribution;Select the sector(s) of volunteers' engagement/Hygienic kits distribution;
Select_the_sectors_of_volunteers_engagement_Psycho_social_support;Select the sector(s) of volunteers' engagement/Psycho-social support;
Select_the_sectors_of_volunteers_engagement_Legal_aid;Select the sector(s) of volunteers' engagement/Legal aid;
Select_the_sectors_of_volunteers_engagement_NFIs_distribution;Select the sector(s) of volunteers' engagement/NFIs distribution;
Select_the_sectors_of_volunteers_engagement_SAR_Registration;Select the sector(s) of volunteers' engagement/SAR Registration;
Select_the_sectors_of_volunteers_engagement_Translation_Interpretation;Select the sector(s) of volunteers' engagement/Translation/Interpretation;
Select_the_sectors_of_volunteers_engagement_Transport_support;Select the sector(s) of volunteers' engagement/Transport support;
Select_the_sectors_of_volunteers_engagement_TP_Registration;Select the sector(s) of volunteers' engagement/TP Registration;
Select_the_sectors_of_volunteers_engagement_Other;Select the sector(s) of volunteers' engagement/Other;
Number_of_volunteers_mobilised;Number of volunteers mobilised;
Who_is_managing_volunteers;Who is managing volunteers?;
Are_there_interpreters_engaged;Are there interpreters engaged?;
Number_of_interpreters_engaged;Number of interpreters engaged?;
Are_procedures_for_identificaiton_and_referral_of_Unaccompanied_and_Separated_Children_in_place;Are procedures for identificaiton and referral of Unaccompanied and Separated Children in place?;
Organizations_involved_in_identification_and_referral_of_UASCs;Organization(s) involved in identification and referral of UASCs;
Are_family_tracing_services_available_at_the_site;Are family tracing services available at the site?;
Organization_providing_family_tracing_services;Organization providing family tracing services;
Is_Child_friendly_space_is_available_at_the_Site;Is Child-friendly space is available at the Site?;
Is_there_specific_organization_managing_the_Child_friendly_space_If_yes_name_of_organization;Is there specific organization managing the Child-friendly space? If yes, name of organization;
Number_of_staff_volunteers_working_in_the_Child_friendly_space;Number of staff/volunteers working in the Child-friendly space?;
Is_there_registration_for_Temporary_Protection_conducted;Is there registration for Temporary Protection conducted?;
Number_of_staff_conducting_registration_under_TP;Number of staff conducting registration under TP;
Average_registration_time_processing_per_person;Average registration time processing per person;
TP_ID_card_is_issued_on_the_same_day_after_the_registration;TP ID card is issued on the same day after the registration;
Is_registration_for_internaitonal_protection_humanitarian_status_conducted;Is registration for internaitonal protection/humanitarian status conducted?;
Number_of_SAR_staff_engaged;Number of SAR staff engaged?;
Is_accomodation_for_short_rest_overnight_available_within_the_Site;Is accomodation for short rest/overnight available within the Site?;
is_privacy_ensured_at_the_bedroom_area;is privacy ensured at the bedroom area?;
Number_of_beds_available;Number of beds available;
Are_security_measures_in_place_in_the_Site;Are security measures in place in the Site?;
Is_there_check_in_system_in_place;Is there check-in system in place?;
Are_rooms_other_space_allocated_for_private_counseling;Are rooms/other space allocated for private counseling?;
Is_free_internet_available_in_the_Site;Is free internet available in the Site;
Are_there_recreational_activities_organized_in_the_Site;Are there recreational activities organized in the Site?;
Organizations_providing_recreational_activities;Organization(s) providing recreational activities;
Describe_the_types_of_recreational_activities;Describe the types of recreational activities;
Sanitation_Facilities_in_place;Sanitation Facilities in place;
Sanitation_Facilities_in_place_Toilets;Sanitation Facilities in place/Toilets;
Sanitation_Facilities_in_place_Bathrooms;Sanitation Facilities in place/Bathrooms;
Sanitation_Facilities_in_place_None;Sanitation Facilities in place/None;
Are_hygiene_kits_distributed;Are hygiene kits distributed?;
Specific_hygiene_kits_are_available_and_accessible_for_women_and_children;Specific hygiene kits are available and accessible for women and children?;
List_describe_the_items_included_in_the_hygienic_kit_including_specific;List/describe the items included in the hygienic kit (including specific);
Organizations_distributing_hygienic_kits;Organization(s) distributing hygienic kits;
Is_food_distributed_in_the_Site;Is food distributed in the Site?;
Is_food_distributed_in_the_Site_None;Is food distributed in the Site?/None;
