"category_name","category","csv_field","alias","traffic_light","chart","chart_details","relevant","multiple","in_survey","calculation"
"general_info",,"date","Date of Report:",,,,,,,
"general_info","group_general_info","reporting_week","Reporting Week:",,,,,,,
"general_info","group_general_info","organisation","Reporting organization:",,,,,,,
"general_info","group_general_info","state","State:",,,,,,,
"general_info","group_general_info","lga","LGA:",,,,"submission[""group_general_info/state""] != """"",,,
"general_info","group_general_info","ward","Ward:",,,,"submission[""group_general_info/lga""] != """"",,,
"general_info","group_general_info","site_name","Site name: ",,,,,,,
"general_info","group_general_info","camp_management","Site managed by a government agency:",,,,"submission.survey_type != ""ad-hoc""",,,
"general_info","group_general_info","crowded","Evidence of site being overcrowded:","noyes",,,"submission.survey_type != ""ad-hoc""",,,
"demographic_distribution","group_pop_change","FamiliesPopulation","Families resident in the site:",,,,,,,
"demographic_distribution","group_pop_change","IndividualPopulation","Individuals resident in the site:",,,,,,,
"demographic_distribution","group_pop_change/numberofindividuals","Male0_5","Males 0-5 years:",,"age_pyramid#1","m",,,,
"demographic_distribution","group_pop_change/numberofindividuals","Fema0_5","Females 0-5 years:",,"age_pyramid#1","f",,,,
"demographic_distribution","group_pop_change/numberofindividuals","Male6_17","Males 6-17 years:",,"age_pyramid#1","m",,,,
"demographic_distribution","group_pop_change/numberofindividuals","Fema6_17","Females 6-17 year:",,"age_pyramid#1","f",,,,
"demographic_distribution","group_pop_change/numberofindividuals","Male5_35","Males 18-35 years:",,"age_pyramid#1","m",,,,
"demographic_distribution","group_pop_change/numberofindividuals","Fema5_35","Females 18-35 years:",,"age_pyramid#1","f",,,,
"demographic_distribution","group_pop_change/numberofindividuals","Male5_59","Males 36-59 years:",,"age_pyramid#1","m",,,,
"demographic_distribution","group_pop_change/numberofindividuals","Fema5_59","Females 36-59 years:",,"age_pyramid#1","f",,,,
"demographic_distribution","group_pop_change/numberofindividuals","Male5_60","Males 60 or older:",,"age_pyramid#1","m",,,,
"demographic_distribution","group_pop_change/numberofindividuals","Fema5_60","Females 60 or older:",,"age_pyramid#1","f",,,,
"demographic_distribution","SpecificGroups","FemaleHoHH","Female headed households (18-59 years old):",,"doughnut_chart#2","FHoHH#Female Headed households","submission.survey_type != ""ad-hoc""",,,
"demographic_distribution","SpecificGroups","ChildHoHH","Child headed households (Below 18 years old):",,"doughnut_chart#2","CHoHH#Child headed household","submission.survey_type != ""ad-hoc""",,,
"demographic_distribution","SpecificGroups","PhysicalDisability","Persons with permanent physical disabilities:",,"doughnut_chart#2","Pdisability#Persons with permanent disabilities","submission.survey_type != ""ad-hoc""",,,
"demographic_distribution","SpecificGroups","SpecialNeeds","Persons with mental health disabilities:",,"doughnut_chart#2","Sneeds#Persons with mental health disabilities","submission.survey_type != ""ad-hoc""",,,
"demographic_distribution","SpecificGroups","SingleElderly","Single elderly households (above 60 years old):",,"doughnut_chart#2","Selderly#Single elderly  households","submission.survey_type != ""ad-hoc""",,,
"demographic_distribution","SpecificGroups","number_of_unacc","Number of unaccompanied children:",,"doughnut_chart#2","Unacc#Unaccompanied children","submission.survey_type != ""ad-hoc""",,,
"demographic_distribution","SpecificGroups","number_of_preglac_dis","Number of pregnant/lactating women:",,"doughnut_chart#2","Preglact#Pregnant / lactating women","submission.survey_type != ""ad-hoc""",,,
"cccm","group_cccm","CampManagementOffice","Camp management office on site:","yesno",,,,,,
"cccm","group_cccm","site_facilitation_type","Site facilitation being provided:",,,,,,,
"cccm","group_cccm","site_facilitators","Site facilitators covering the site:",,,,,,,
"cccm",,"site_facilitator_calcPopulationVsDedicated","Rate number of site facilitator by population","dedicatedSfVsPopulation",,,"submission[""group_cccm/site_facilitation_type""] == ""dedicated""",,"no","Math.round(submission['group_pop_change/individualpopulation']/submission['group_cccm/site_facilitators'])"
"cccm",,"site_facilitator_calcPopulationVsMobile","Rate number of site facilitator by population","mobileSfVsPopulation",,,"submission[""group_cccm/site_facilitation_type""] == ""mobile""",,"no","Math.round(submission['group_pop_change/individualpopulation']/submission['group_cccm/site_facilitators'])"
"cccm","group_cccm","FemaleSiteFacilitators","Female site facilitators staff covering the site:",,,,,,,
"cccm","group_cccm","NumberOfSites","Site facilitators cover more than one site: ",,,,,,,
"cccm","group_cccm","NumberSitesCovered","Number of sites covered:",,,,"submission[""group_cccm/numberofsites""] == ""yes""",,,
"cccm","group_cccm","OverallPopulation","Number of individuals:",,,,"submission[""group_cccm/numberofsites""] == ""yes""",,,
"cccm","group_cccm","date_last_coord_meeting","Date of last site coordination meeting:",,,,,,,
"cccm","group_cccm","minute_coord_meeting","Minute of coordination meeting shared with the sector:",,,,,,,
"cccm","group_cccm","cccm_activities","CCCM sector activities in the site:",,,,,"yes",,
"cccm","group_cccm","other_cccm_activities","Other CCCM activities in the site:",,,,,,,
"livelihood","group_livelihoods","erl_activities","Early recovery and livelihoods sector activities in the site:",,,,,,,
"livelihood","group_livelihoods","other_erl_activities","Other Early recovery and livelihood activities in the site:",,,,"submission[""group_livelihoods/erl_activities""] ==  ""other""",,,
"livelihood","group_livelihoods","vocational_activities","Vocational skills training available at the site:","yesno",,,"submission.survey_type != ""ad-hoc""",,,
"livelihood","group_livelihoods","MarketInsideCamp","Market inside the site:","yesno",,,,,,
"livelihood","group_livelihoods","MarketDistance","Distance to  the nearest easily accessible functional market (km):",,,,"submission[""group_livelihoods/marketinsidecamp""] == ""no""",,,
"livelihood","group_livelihoods","LivelihoodSources","Families' primary livelihoods sources:",,,,,"yes",,
