field_name;field_label_en;field_label_ar
organisation;organisation;منظمة
reporting_month;Reporting month;شهر الإبلاغ
data_sources;Data Sources;مصادر البيانات
data_sources/other;-;-
data_sources_other;Data Sources;مصادر البيانات
hub;hub;مَركَز
Country;Country;دولة
site_name;Site Name;اسم الموقع
site;Site ID;معرف الموقع
governorate_name;governorate;محافظة
district_Name;District;يصرف
sub_district_name;Sub district;منطقة فرعية
site_single_clustered;single or clustered site;موقع واحد أو مجمع
site_main_subsite;main or subsite site;الموقع الرئيسي أو الفرعي
number_subsites;Number of subsites;عدد المواقع الفرعية
name_subsites;Name of subsites;اسم المواقع الفرعية
type_of_settlement;Type of settlement;نوع التسوية
degree_of_urbanization;Degree of urbanization;درجة التحضر
settlement_attributes;Settlement attributes;سمات التسوية
site_purpose;Site purpose;الغرض من الموقع
site_occupation_date;Site occupation date;تاريخ احتلال الموقع
land_ownership;Land ownership;ملكية الارض
occupancy_agreement;Occupancy agreement;اتفاقية الإشغال
isolated_location;Is the site in an isolated location;هو الموقع في مكان منعزل
smc_agency;Site Management & Coordination (SMC) Agency;وكالة إدارة وتنسيق المواقع (SMC)
smc_physical_space;Adequate physical SMC office space available?;متاح مساحة مكتبية كافية مادية SMC؟
smc_stationary_mobile;Is SMC team stationary or mobile?;هل فريق SMC ثابت أم متحرك؟
smc_presence_days;How many days per week is SMC present in the site?;كم يوم في الأسبوع يتواجد SMC في الموقع؟
smc_female_male;Do you know the Number of Female \ Male SMC Staff?;هل تعرف عدد موظفي SMC من الإناث \ الذكور؟
smc_female;No. Female Staff;عدد الموظفات
smc_male;No. Male  Staff;رقم الموظفين الذكور
smc_total;Total number of SMC Staff;إجمالي عدد موظفي SMC
smc_code_of_conduct;Do you know How many SMC staff who have signed a Code of Conduct?;هل تعرف كم عدد موظفي SMC الذين وقعوا على مدونة السلوك؟
smc_code_of_conduct_number;# SMC staff signed a Code of Conduct;وقع موظفو SMC على مدونة قواعد السلوك
smc_training;Do You Know how many SMC staff who have completed adequate training related to their role (insert value);هل تعرف عدد موظفي SMC الذين أكملوا التدريب المناسب المتعلق بدورهم (أدخل القيمة)
smc_training_number;# SMC staff  completed adequate training related to their role;# أكمل موظفو SMC التدريب الكافي المتعلق بدورهم
committees_present/i_dont_know;-;-
committees_present;-;-
committees_present/residents_committee_present_at_the_site;-;-
committees_present/camp_management_committee_present_at_the_site;-;-
committees_present/womens_committee_present_at_the_site;-;-
committees_present/elder_committee;-;-
committees_present/wash_committee;-;-
committees_present/health_committee;-;-
committees_present/education_committee;-;-
committees_present/food_security_agriculture_committee;-;-
committees_present/livelihoods_business_committee;-;-
committees_present/youth_education_committee;-;-
committees_present/care_maintenance_committee;-;-
committees_present/fire_warden;-;-
committees_present/representative_for_persons_with_disability;-;-
committees_present/representative_for_marginalized_groups;-;-
