"name","label"
"cccmact1","Allocation of shelter"
"cccmact10","Hygiene promotion session"
"cccmact11","Camp Coordination activities"
"cccmact12","Camp Management activities"
"cccmact13","Complaint/information desk"
"cccmact14","Registration of new arrivals"
"cccmact15","Community led sensitization"
"cccmact2","Safety mapping and safety mapping"
"cccmact3","Sanitation led by the community"
"cccmact4","Sensitization on CFM"
"cccmact5","Fire sensitization"
"cccmact6","COVID-19 sensitization"
"cccmact7","Points of Entry (PoE) COVID-19 screening."
"cccmact8","Committees meeting"
"cccmact9","GBV awareness raising session"
"other","Other"
"no","No"
"yes","Yes"
"cp_cfs","Child Friendly Spaces"
"cp_mhpss","MHPSS services"
"none","None"
"other","Other"
"distancex1","< 1km"
"distancex2","1 - 5km"
"distancex3","6 - 10km"
"distancex4",">10km"
"classroom","Classroom construction, rehabilitation or reopened"
"extra_curricular","Extra curricular activities - sports, etc"
"learning_supplies","Distribution of learning supplies"
"none","None"
"other","Other"
"teacher_training","Training of teachers"
"cashwork","Employment through Cash-for-Work activities"
"coheshionerl","IDPs have access to social cohesion security activities"
"none","None"
"other","Other"
"recoerl","IDPs have access to community reconciliation activities"
"sbusiness","Support to establish or scale up small businesses"
"gbv_case_mgt","GBV case management"
"gbv_cmr","Clinical Management of Rape (CMR) offered at health facility"
"gbv_mhpss","MHPSS services"
"gbv_referral","Functional GBV referral pathways"
"gbv_wgyfs","Women, girls and youth friendly spaces"
"none","None"
"other","Other"
"legal_documentation","Access to legal documentation, advice and services"
"mine_risk","Mine risk education"
"none","None"
"other","Other"
"referral_prot","Referral mechanisms to protection services"
"screening","Sreening, registration and monitoring of vulnerable groups"
"tranining_prot","Trainings on protection principles"
"essential_meds","Distribution of essential medicines and equipments"
"establishmenths","Establishment of health structure"
"food_distribut","Food distribution"
"medical_referr","Medical referrals"
"none","None"
"other_health","Other"
"vaccination","Vaccination"
"fire","Fire"
"flooding","Flooding"
"influx","Influx"
"other","Other"
"NG002002","FUFORE"
"NG002005","GIREI"
"NG002012","MAYO - BELWA"
"NG002015","MUBI SOUTH"
"NG002018","SONG"
"NG002020","YOLA NORTH"
"NG002021","YOLA SOUTH"
"NG005002","BAUCHI"
"NG005011","JAMA'ARE"
"NG005014","MISAU"
"NG005015","NINGI"
"NG005020","ZAKI"
"NG008002","ASKIRA / UBA"
"NG008003","BAMA"
"NG008005","BIU"
"NG008006","CHIBOK"
"NG008007","DAMBOA"
"NG008008","DIKWA"
"NG008011","GWOZA"
"NG008013","JERE"
"NG008014","KAGA"
"NG008016","KONDUGA"
"NG008019","MAFA"
"NG008020","MAGUMERI"
"NG008021","MAIDUGURI M. C."
"NG008024","MONGUNO"
"NG008025","NGALA"
"NG008026","NGANZAI"
"NG035001","ARDO - KOLA"
"NG035003","DONGA"
"NG035005","GASSOL"
"NG035007","JALINGO"
"NG035014","WUKARI"
"NG036003","DAMATURU"
"NG036005","FUNE"
"NG036007","GUJBA"
"NG036013","NGURU"
"NG036014","POTISKUM"
"NG036016","YUNUSARI"
"AgriculturalInput","Agricultural input"
"BusinessGrants","Business grants"
"CashForWork","Cash for work"
"OtherSources","Other"
"VocationalInput","Vocational input"
"none","None"
"blanketsMats","Blankets/Mats"
"bucket/Jerrycan","Bucket/Jerry Can"
"kitchenSets","Kitchen Sets"
"mosquitoNets","Mosquito Nets"
"sheeting","Plastic Sheeting"
"soap","Soap"
"other","Other"
"over_6months","> 6 months"
"within_1month","within the last 1 month"
"within_2month","within the last 2 months"
"within_3month","within the last 3 months"
"cash_nutrition","Cash assistance for prevention of malnutrition"
"none","None"
"other","Other"
"supplementary1","Supplementary Feeding for children"
"supplementary2","Supplementary feeding for pregnant and lactating mothers"
"supplementary3","Screening and supplementary feeding for malnourished children"
"acted","ACTED"
"intersos","INTERSOS"
"iom","IOM"
"loc-din","LOC-DIN"
"nrc","NRC"
"salient","SALIENT"
"shi","SHI"
"unhcr","UNHCR"
"aun","American University of Nigeria"
"bac","Borno Action Coalition"
