choice_name;choice_label_en;choice_label_uk
coordination;Coordination centers ('daytime' services);Координаційні центри («денні» послуги)
reception;Reception centers (temporary settlement);Приймальні пункти (тимчасове поселення)
collective;Сollective centers (adapted for the collective longer-term settlement of the internally displaced persons);Колективні центри (пристосовані для колективного довгострокового поселення внутрішньо переміщених осіб)
male;Male;Чоловіча
female;Female;Жіноча
public_state;Public (state ownership);Державна
private;Private;Приватна
comunal;Communal (ownership of territorial communities);Комунальна (власність територіальних громад)
sanatorium_summer;Sanatorium/camp/recreation facility ("summer time");Санаторій/табір/база відпочинку ("літній час")
sanatorium;Sanatorium/camp/recreation facility ("all year round type");Санаторій/табір/база відпочинку ("цілорічний тип")
kindergarten;Kindergarten;Дитячий садок
school;School;Школа
unfinished_building;Unfinished or abandoned building;Недобудований або покинутий будинок
hostel_hotel;Hostel/hotel;Хостел/готель
religious_building;Religious building;Релігійна будівля/установа
house_culture;House of culture;Будинок культури
government_building;Government building;Державна будівля/будівля громади
office_building;Office building;Адміністративна будівля (офіс та ін.)
resident_building;Residential building;Житловий будинок
non_resident_building;Non-residential building (e.g. garage, farm building, shop);Нежитловий будинок (наприклад, гараж, господарська будівля, магазин)
dormitory;Dormitory;Гуртожиток
sport_center;Sport center;Спорткомплекс
library;Library;Бібліотека
hospital;Hospital;Лікарня
restaurant;Restaurant;Ресторан
boarding_house;Boarding house / rehabilitation center;Интернат/пансионат/реабілітаційний центр
other;Other (specify);Інше, уточніть
yes;Yes;Так 
no;No;Ні
not_sure;Not sure;Не знаю
yes;Yes;Так
partially;Partially;Частково
no;No (building type modified);Ні (цільове призначення нерухомості змінено)
yes;Yes;Так 
no;No;Ні
dont_know;Don’t know;Не знаю
refuse_to_answer;Refuse to answer;Не хочу відповідати
yes_resume_original;Site building is going to resume its original function;Будівля центру знову виконуватиме свою початкову функцію
yes_idp_decrease;Number of IDPs in site is decreasing;Кількість ВПО в центрі зменшується
yes_idp_moving;IDPs are moving to different places - rented apartments/ family/ friends;ВПО переїжджають до інших місць – на орендовані квартири / до родичів / до друзів
other;Other (specify);Інше, уточніть
no_host;No, but Site is prepared to host IDPs;Ні, але центр готовий прийняти ВПО
yes;Yes;Так
yes;Yes;Так 
no;No;Ні
dont_know;Don’t know;Не знаю
none;None;Жодні
government;Government;Державні органи
local_authorities;Local authorities;Місцева влада
international_ngo;International NGO;Міжнародні НУО
local_ngo;Local NGO;Національні НУО
volunteer_organisation;Volunteer organisation;Волонтерські організації
host_community;Host community;Приймаюча громада
religious_organizations;Religious organizations;Релігійні організації
other;Other (specify);Інше, уточніть
yes_someone;Yes, someone is here 24/7;Так, хтось знаходиться тут 24/7
during_day;Yes, during the day only;Так, перебуває лише вдень
visit_periodically;Visits periodically (not every day);Відвідує періодично (не кожен день)
no;No;Ні
yes;Yes;Так 
no;No;Ні
dont_know;Don’t know;Не знаю
computer_based;Computer-based;На комп’ютері
paper_based;Paper-based;У паперовому вигляді
yes;Yes;Так 
no;No;Ні
dont_know;Don’t know;Не знаю
no_charge;No charge;Плата не стягується
yes_staying;Yes charge for staying;Так, стягується плата за проживання
yes_utilities;Yes charge for utilities only;Так, стягується плата лише на комунальні послуги
other;Yes charge for other costs (specify);Так, стягується плата за інші послуги (уточніть)
dont_know;Don't know;Не знаю
dont_wish_to_answer;Don't wish to answer;Не хочу відповідати
1_3_days;1 to 3 days;Від 1 до 3 днів
less_week;Less then a week;Менше тижня
less_month;Less then a month;Менше 1 місяця
month_more;1 month and more;1 місяць і більше
no_hosted_idps_yet;No hosted IDPs yet;Ще не розміщували ВПО
dont_know;Don't know;Не знаю
other;Other (specify);Інше, уточніть
yes;Yes;Так 
no;No;Ні
dont_know;Don’t know;Не знаю
food_products;Food products;Продукти харчування
babyfood_products;Babyfood products;Продукти дитячого харчування
cooking_items;Cooking items;Кухонне приладдя
sleeping_items;Sleeping items;Спальне приладдя
hygiene_items;Hygiene items;Засоби гігієни
supplies_children;Supplies for infants and toddlers, children;Приладдя для немовлят та малюків, дітей
clothes_adults;Clothes for adults;Одяг для дорослих
first_aid;First aid;Аптечки першої допомоги
items_disabilities;Items for older people and assistive devices for people with disabilities;Товари для людей похилого віку та допоміжні пристрої для людей з інвалідністю
protection_services;Protection Services (PSS, legal aid, etc.);Послуги із захисту (психосоціальна підтримка, юридична допомога тощо)
cash;Multi-Purpose Cash distribution;Видача готівки
appliances;Appliances;Прилади
other;Other (specify);Інше
yes;Yes;Так 
no;No;Ні
dont_know;Don’t know;Не знаю
none;No vulnerable groups;Немає груп із вразливістю
pregnant_lactating;Pregnant or lactating mothers;Вагітні або годуючі жінки
female_headed;Female-headed households;Господарства, очолювані жінками
older_women;Older women (60+);Літні жінки (60+)
older_men;Older men (60+);Літні чоловіки (60+)
with_health_issues;Persons with serious medical conditions, including pre-existing mental health issues;Особи з серйозними захворюваннями, включаючи наявні проблеми з психічним здоров’ям
foreign_nationals;Foreign nationals;Іноземні громадяни
without_nationality;People without nationality;Особи без громадянства
lgbtiq;LGBTIQ+;ЛГБТІК+
minority_groups;Minority groups (such as Roma);Групи меншин (наприклад, роми)
other;Other (specify);Інше, уточніть
